date,day,month,year,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,weather,snow_day,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,avg_tem,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,cloudy,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-12-31,31,12,2024,6.5,4.81,4.95,3.4,,,100,95,91,82,5,4,3.4,1.7,16,9.83,8,0,,,102.76,102.28,102.24,101.72,102.71,102.22,102.19,101.67,48300,33866.7,32200,16100,2,1.5,1.6,1.1,13.1,0,0,0,0,1.4,1.4,Rain,,0,,8:08:00,1735661280,8.13,16:25:00,1735691100,16.42,8.28,1,1,6,7,3,3,5,,,,,,8,7.8,Overcast,7.5,7,,,,
2024-12-30,30,12,2024,5.9,5.24,4.25,2.6,,,100,99.9,99,98,5.8,5.2,5.2,4.5,18,13.12,11.5,5,,,102.79,102.53,102.4,102.01,102.74,102.47,102.35,101.96,32200,20787.5,20150,8100,2.5,1.9,1.9,1.3,13.8,0,0,0,0,10.7,10.7,Rain,,0,,8:08:00,1735574880,8.13,16:24:00,1735604640,16.4,8.27,,,8,8,4,4,6,,,,,,8,7.8,Broken,6.5,5,,,,
2024-12-29,29,12,2024,7.6,5.78,5.09,2.6,,,100,99.2,96.5,93,7,5.7,4.8,2.7,15,8.38,9,3,,,101.95,101.01,101.24,100.54,101.9,100.96,101.19,100.49,32200,24479.2,20950,9700,2.5,1.7,1.8,1.1,12.9,0,0.1,0,0,8.1,8.1,Rain,,0,,8:08:00,1735488480,8.13,16:23:00,1735518180,16.38,8.25,,,7,9,4,4,6,,,,,,8,6.5,Scattered,5,2,,,,
2024-12-28,28,12,2024,11.3,7.83,8.55,5.8,,,100,91.1,87.5,75,8.6,6.4,7,5.3,30,21.29,20,10,42,17,100.97,100.45,100.47,99.96,100.92,100.4,100.42,99.91,32200,22529.2,22550,12900,2.3,1.9,1.9,1.5,9.4,0,3.5,1.6,0,7.1,7.1,Rain,,0,,8:08:00,1735402080,8.13,16:22:00,1735431720,16.37,8.23,,,10,10,5,5,7,,,,,,8,6.6,Broken,6,4,,,,
2024-12-27,27,12,2024,8,6.5,6.75,5.5,,,100,95.1,90.5,81,6.6,5.8,5.7,4.7,25,14.67,14,3,32,7,100.43,100.22,100.21,99.99,100.38,100.17,100.16,99.94,32200,22866.7,18500,4800,2.2,1.8,1.8,1.4,11.2,0,1.8,0,0,5,5,Rain,,0,,8:07:00,1735315620,8.12,16:21:00,1735345260,16.35,8.23,,,9,9,6,6,7,,,,,,8,7.2,Broken,6,4,,,,
2024-12-26,26,12,2024,7.9,6.52,6.2,4.5,,,100,98.4,95.5,91,7.1,6.3,6.2,5.3,27,16.38,16,5,44,29,100.45,99.78,99.64,98.84,100.4,99.73,99.6,98.79,32200,22929.2,24150,16100,2.4,1.9,2,1.5,11.8,0,1.2,0,0,29.3,29.3,Rain,,0,,8:07:00,1735229220,8.12,16:20:00,1735258800,16.33,8.22,,,9,9,6,6,7,,,,,,8,6.5,Scattered,5,2,,,,
2024-12-25,25,12,2024,7.9,6.52,6.5,5.1,,,100,92.8,88,76,6.5,5.4,5.1,3.7,43,27.21,28,13,57,12,101.64,100.7,100.45,99.27,101.59,100.65,100.4,99.22,32200,20929.2,18500,4800,2.2,1.9,1.9,1.6,11.5,0,1.5,0,0,15.4,15.4,Rain,,0,,8:07:00,1735142820,8.12,16:19:00,1735172340,16.32,8.2,,,7,7,6,6,6,,,,,,8,7.9,Broken,6.5,5,,,,
2024-12-24,24,12,2024,11.2,8.28,8.5,5.8,,,100,85.2,81.5,63,8.9,5.8,6.3,3.8,26,15.46,17.5,9,50,11,101.7,101.07,100.95,100.21,101.65,101.02,100.91,100.16,48300,35683.3,32200,16100,2.6,2.1,2.1,1.6,9.5,0,3.5,1.5,0,5.7,5.7,Rain,,0,,8:07:00,1735056420,8.12,16:19:00,1735085940,16.32,8.2,,,9,9,6,6,7,,,,,,8,6.9,Broken,6,4,,,,
2024-12-23,23,12,2024,12.9,8.97,9.05,5.2,,,100,87,78,56,9.5,6.8,6.3,3.2,39,18.92,24,9,56,9,102.01,101.33,101.05,100.08,101.96,101.28,100.99,100.03,48300,34200,36200,24100,2.7,2,2.1,1.6,8.9,0,4,2,0,0,0,Normal,,0,,8:06:00,1734969960,8.1,16:18:00,1734999480,16.3,8.2,1,1,11,11,8,8,9,,,,,,8,6.6,Scattered,5,2,,,,
2024-12-22,22,12,2024,9.2,8.32,7.8,6.4,,,100,92.4,91,82,9.4,7.1,7.4,5.4,31,22.08,22,13,45,8,101.72,101.17,101.24,100.75,101.67,101.12,101.18,100.7,32200,24404.2,24150,16100,2.2,1.8,1.8,1.4,10.2,0,2.8,0.8,0,6.2,6.2,Rain,,0,,8:06:00,1734883560,8.1,16:17:00,1734913020,16.28,8.18,,,10,10,6,8,8,,,,,,8,7.5,Broken,6,4,,,,
